ticker,ticker_norm,naics,source_route,provisional_issuer,issuer_confidence,route_type,route_priority,likely_relevance,likely_mechanism_primary,likely_mechanism_secondary,likely_sample_decision,duplicate_or_family_link,next_action,rationale,sec_lookup_url,sec_search_url,duplicate_entity_flag,priority_rank,review_status,provisional_sample_decision_v2,manual_confidence_v2,ecosystem_role_v2,next_action_v2
CCGY,CCGY,[324199],Alt_or_no_SEC,China Clean Energy Inc.,medium_high,otc_disclosure_or_legacy_sec,tier_1_alt_core,core,subsidy_exposure,demand_pull_exposure,edge,No obvious duplicate in current SEC-direct set.,"Check OTC disclosure and legacy SEC filings for business identity, then confirm whether biodiesel operations are still active.","Search results still describe biodiesel and specialty chemical products, so fuel relevance may be real but stale.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCGY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=CCGY&dateRange=all,False,1,official_legacy_sec_and_otc_reviewed,edge,low,alt_legacy_biodiesel_specialty_chemicals_issuer,Treat as a legacy alt-core candidate and only merge after a current-operations check.
CRDE,CRDE,[325193],Alt_or_no_SEC,"Cardinal Ethanol, LLC",high,legacy_sec_or_llc_filer,tier_1_alt_core,core,credit_market_exposure,demand_pull_exposure,keep,No obvious duplicate in current SEC-direct set.,"Pull latest available 10-K / annual filing and business description for ethanol, corn oil, and CO2 operations.",Direct fuel-grade ethanol producer and therefore highly relevant to mechanism calibration.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRDE&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=CRDE&dateRange=all,False,1,official_company_and_sec_reviewed,keep,high,alt_core_ethanol_llc_operator,Promote to the alt-core keep set and consider for later Stage 2 integration after ticker-panel merge checks.
MEIL,MEIL,[324199],Alt_or_no_SEC,Methes Energies International Ltd.,high,legacy_sec_or_otc,tier_1_alt_core,core,subsidy_exposure,demand_pull_exposure,edge,No obvious duplicate in current SEC-direct set.,Review latest available SEC/OTC filings and confirm whether biodiesel activity remains active versus legacy-only.,Historically biodiesel-linked issuer with plausible direct fuel-policy relevance if still active.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MEIL&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=MEIL&dateRange=all,False,1,official_legacy_sec_reviewed,edge,low,alt_legacy_biodiesel_issuer,Retain only as a legacy edge candidate pending current-status confirmation.
REGX,REGX,[325193],Alt_or_no_SEC,"Red Trail Energy, LLC",high,legacy_sec_or_llc_filer,tier_1_alt_core,core,credit_market_exposure,demand_pull_exposure,keep,No obvious duplicate in current SEC-direct set.,Pull latest available filing and business description for ethanol / carbon capture relevance.,Red Trail Energy is a direct ethanol-linked operating name and should be high priority.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=REGX&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=REGX&dateRange=all,False,1,official_sec_and_company_reviewed,edge,medium_high,alt_core_ethanol_ccs_asset_family_link,Keep in an alt-family-link set and do not double-count against GEVO in any integrated Stage 2 specification.
XFLS,XFLS,[325120],Alt_or_no_SEC,Cycle Energy Industries Inc. / Xfuels Inc.,medium_high,official_company_materials_or_otc,tier_1_alt_core,core,subsidy_exposure,demand_pull_exposure,edge,No obvious duplicate in current SEC-direct set.,Review latest filings and company materials around biodiesel production at the Bieseker plant and confirm operating status.,"Recent public materials mention biodiesel production, making it one of the more relevant non-SEC-direct names.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XFLS&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=XFLS&dateRange=all,False,1,official_otc_and_press_release_reviewed,edge,low,alt_speculative_biodiesel_and_clean_fuels_developer,Keep only as a speculative edge candidate until a cleaner operating disclosure base is identified.
AIQUY,AIQUY,[325120],Alt_or_no_SEC,L’Air Liquide S.A. ADR,high,official_company_annual_report,tier_2_adjacent,adjacent,demand_pull_exposure,compliance_exposure,edge,"Comparable to APD/LIN style industrial-gases hydrogen platform, but separate issuer family.","Pull latest Air Liquide annual report / business overview and review hydrogen, low-carbon, and energy-transition sections.",Industrial gases and hydrogen platform with likely adjacent low-carbon exposure.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIQUY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=AIQUY&dateRange=all,False,2,provisional_official_company_materials_reviewed,edge,medium,alt_adjacent_industrial_gases_hydrogen_platform,Keep in the adjacent alt queue and only integrate later if non-SEC annual-report extraction is standardized.
CTXAY,CTXAY,[324110],Alt_or_no_SEC,Ampol Limited ADR,high,official_company_annual_report,tier_2_adjacent,adjacent,demand_pull_exposure,compliance_exposure,edge,No obvious duplicate in current SEC-direct set.,"Use Ampol annual report and sustainability disclosures; check for SAF, renewable fuels, and refining transition language.",Integrated downstream fuel company with likely boundary-style transition exposure.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTXAY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=CTXAY&dateRange=all,False,2,provisional_official_company_materials_reviewed,edge,medium,alt_adjacent_refining_and_fuels_transition_platform,Retain as an adjacent edge issuer and revisit if the alt annual-report workflow is expanded.
MGYOY,MGYOY,[324110],Alt_or_no_SEC,MOL Hungarian Oil and Gas Plc ADR,high,official_company_annual_report,tier_2_adjacent,adjacent,demand_pull_exposure,compliance_exposure,edge,No obvious duplicate in current SEC-direct set.,"Use MOL annual report and transition disclosures to assess low-carbon fuels, refining, and petrochemicals positioning.",Integrated oil and gas issuer with likely boundary-type transition exposure.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MGYOY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=MGYOY&dateRange=all,False,2,provisional_official_company_materials_reviewed,edge,medium,alt_adjacent_integrated_refiner_transition_platform,Keep as adjacent only; do not promote into the main operating sample.
REPYY,REPYY,[324110],Alt_or_no_SEC,"Repsol, S.A. ADR",high,official_company_annual_report,tier_2_adjacent,adjacent,demand_pull_exposure,compliance_exposure,edge,No obvious duplicate in current SEC-direct set.,"Use Repsol annual report and low-carbon fuels disclosures, including SAF and renewable fuels sections.",Integrated major with adjacent low-carbon fuels and refining-transition exposure.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=REPYY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=REPYY&dateRange=all,False,2,provisional_official_company_materials_reviewed,edge,medium_high,alt_adjacent_integrated_major_with_low_carbon_fuels,Retain as one of the stronger non-SEC adjacent candidates for future international extension work.
RLNIY,RLNIY,[324110],Alt_or_no_SEC,Reliance Industries Ltd ADR,high,official_company_annual_report,tier_2_adjacent,adjacent,demand_pull_exposure,compliance_exposure,edge,No obvious duplicate in current SEC-direct set.,"Use Reliance annual report to assess fuels, refining, and new energy exposure.",Large integrated platform with possible transition overlap but not a direct core fuel-policy issuer.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RLNIY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=RLNIY&dateRange=all,False,2,provisional_official_company_materials_reviewed,edge,medium,alt_adjacent_integrated_refining_and_new_energy_platform,Hold in the adjacent queue until the project expands beyond the SEC-direct operating universe.
GELV,GELV,[325193],Alt_or_no_SEC,"Green Energy Live, Inc.",medium,otc_disclosure_or_legacy_sec,tier_3_speculative,adjacent,subsidy_exposure,demand_pull_exposure,edge,No obvious duplicate in current SEC-direct set.,Read OTC disclosure and confirm whether the business is active and materially tied to fuels rather than a dormant shell.,"Green-energy naming suggests relevance, but current operating status is unclear.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GELV&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=GELV&dateRange=all,False,3,provisional_otc_profile_reviewed,edge,low,alt_speculative_biomass_to_energy_platform,Retain only as a speculative edge candidate.
HTPRF,HTPRF,[324110],Alt_or_no_SEC,HTC Purenergy Inc.,high,otc_disclosure_or_company_materials,tier_3_speculative,adjacent,demand_pull_exposure,compliance_exposure,edge,No obvious duplicate in current SEC-direct set.,Review OTC disclosures and company materials for carbon capture / purification systems and decide whether to keep as adjacent clean-tech exposure.,Clean-tech / extraction systems may be adjacent to transition infrastructure but not direct fuel production.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HTPRF&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=HTPRF&dateRange=all,False,3,official_otc_and_cross_listing_reviewed,edge,medium_low,alt_adjacent_co2_capture_and_extraction_platform,Keep as adjacent only and avoid double counting with HTC.H.
MOTNF,MOTNF,[325120],Alt_or_no_SEC,PowerTap Hydrogen Capital Corp.,high,official_company_materials_or_otc,tier_3_speculative,adjacent,subsidy_exposure,demand_pull_exposure,edge,No obvious duplicate in current SEC-direct set.,Review company materials and OTC profile for hydrogen-station business maturity and decide whether to treat as adjacent developer or speculative name.,Hydrogen fueling developer aligns with transition themes but may be project-stage rather than operating-scale.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MOTNF&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=MOTNF&dateRange=all,False,3,official_company_and_otc_reviewed,edge,medium,alt_adjacent_hydrogen_fueling_platform,Retain as an adjacent hydrogen-transition candidate only.
PBR.A,PBR.A,[324110],Alt_or_no_SEC,Petróleo Brasileiro S.A. ADR A,high,deduplicate_to_existing_family,tier_4_deduplicate,adjacent,demand_pull_exposure,compliance_exposure,edge,Same Petrobras family already appears in SEC-direct queue as PBR.,Map to existing Petrobras calibration rather than creating a second issuer record.,Share-class duplicate should inherit issuer-family treatment from Petrobras.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PBR.A&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=PBR.A&dateRange=all,False,4,official_family_duplicate_reviewed,drop,high,alt_duplicate_of_petrobras_family,Drop from the alt-source queue and map back to the Petrobras family entry.
ECP.,ECP,[324110],Alt_or_no_SEC,Unclear from current evidence,low,identity_review_first,tier_5_identity_cleanup,unclear,none_or_weak,none_or_weak,drop,Ticker-level identity is ambiguous and search results conflict.,Resolve exact issuer identity before any business-text work.,Current evidence is too ambiguous to treat as part of the operating sample.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ECP&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=ECP&dateRange=all,False,5,identity_cleanup_reviewed,drop,low,alt_unresolved_identity_cleanup_case,Exclude unless a clean issuer mapping is found later.
ESYL,ESYL,[325193],Alt_or_no_SEC,Easylink Solutions Corp.,medium,otc_disclosure_or_legacy_sec,tier_5_identity_cleanup,non_core,none_or_weak,compliance_exposure,drop,No obvious energy identity from current evidence.,Confirm whether the issuer still has an energy-related business; otherwise exclude as universe noise.,Evidence points to a legacy shell / non-core profile rather than a sustainable-fuels issuer.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESYL&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=ESYL&dateRange=all,False,5,identity_cleanup_reviewed,drop,medium,alt_noncore_it_and_fintech_identity_cleanup,Drop from the alt-source queue.
HESG,HESG,[325199],Alt_or_no_SEC,"Health Sciences Group, Inc.",high,otc_disclosure_or_legacy_sec,tier_5_identity_cleanup,non_core,none_or_weak,compliance_exposure,drop,Likely non-energy identity mismatch.,Exclude unless a current energy pivot can be documented from recent disclosures.,Business identity appears unrelated to the sustainable-fuels mechanism set.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HESG&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=HESG&dateRange=all,False,5,identity_cleanup_reviewed,drop,medium,alt_noncore_healthcare_identity_cleanup,Drop from the alt-source queue.
HTC.H,HTC.H,[324110],Alt_or_no_SEC,HTC Corporation,high,official_company_annual_report,tier_5_identity_cleanup,non_core,none_or_weak,none_or_weak,drop,"Consumer electronics / XR company, not fuel-related.",Exclude as identity mismatch to the fuel-policy universe.,"Official annual reports identify HTC as a consumer electronics / XR platform, not an energy issuer.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HTC.H&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=HTC.H&dateRange=all,False,5,official_family_duplicate_reviewed,drop,high,alt_duplicate_of_htc_purenergy_family,Drop as a duplicate line and retain only one family representative if needed.
IAHL,IAHL,[324110],Alt_or_no_SEC,IAHL Corp.,medium,otc_disclosure_or_legacy_sec,tier_5_identity_cleanup,unclear,none_or_weak,none_or_weak,drop,Identity appears unstable; website reference and market labels are weak evidence.,Do identity check first; exclude if no current fuel-linked operating business can be verified.,Current evidence is too weak for substantive calibration.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IAHL&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=IAHL&dateRange=all,False,5,provisional_otc_profile_reviewed,edge,medium_low,alt_adjacent_gas_capture_and_lng_services_platform,Retain as a low-priority adjacent edge case only.
LICH,LICH,[324110],Alt_or_no_SEC,LiveChain Inc.,high,otc_disclosure_or_legacy_sec,tier_5_identity_cleanup,non_core,none_or_weak,none_or_weak,drop,Software / blockchain identity mismatch.,Exclude as identity mismatch.,"Current business identity is software, not fuels or energy transition operations.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LICH&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=LICH&dateRange=all,False,5,identity_cleanup_reviewed,drop,high,alt_noncore_live_streaming_and_public_chain_identity_cleanup,Drop from the alt-source queue.
SKGO,SKGO,[325199],Alt_or_no_SEC,"SkyBridge Technology Group, Inc.",high,legacy_sec_or_otc,tier_5_identity_cleanup,non_core,none_or_weak,none_or_weak,drop,Technology / legacy shell style identity mismatch.,Exclude as identity mismatch unless recent disclosures prove otherwise.,Current evidence does not support inclusion in the sustainable-fuels issuer universe.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SKGO&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=SKGO&dateRange=all,False,5,provisional_otc_and_legacy_reviewed,edge,low,alt_legacy_green_products_and_fuel_additive_platform,Retain only as a low-confidence edge legacy name.
