ticker_raw,ticker_norm,raw_variants,naics,cik,source_route,sec_lookup_url,sec_search_url,duplicate_entity_flag
AIQUY,AIQUY,1,[325120],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIQUY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=AIQUY&dateRange=all,False
CCGY,CCGY,1,[324199],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCGY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=CCGY&dateRange=all,False
CRDE,CRDE,1,[325193],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRDE&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=CRDE&dateRange=all,False
CTXAY,CTXAY,1,[324110],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTXAY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=CTXAY&dateRange=all,False
ECP.,ECP,1,[324110],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ECP&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=ECP&dateRange=all,False
ESYL,ESYL,1,[325193],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESYL&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=ESYL&dateRange=all,False
GELV,GELV,1,[325193],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GELV&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=GELV&dateRange=all,False
HESG,HESG,1,[325199],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HESG&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=HESG&dateRange=all,False
HTC.H,HTC.H,1,[324110],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HTC.H&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=HTC.H&dateRange=all,False
HTPRF,HTPRF,1,[324110],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HTPRF&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=HTPRF&dateRange=all,False
IAHL,IAHL,1,[324110],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IAHL&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=IAHL&dateRange=all,False
LICH,LICH,1,[324110],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LICH&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=LICH&dateRange=all,False
MEIL,MEIL,1,[324199],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MEIL&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=MEIL&dateRange=all,False
MGYOY,MGYOY,1,[324110],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MGYOY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=MGYOY&dateRange=all,False
MOTNF,MOTNF,1,[325120],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MOTNF&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=MOTNF&dateRange=all,False
PBR.A,PBR.A,1,[324110],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PBR.A&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=PBR.A&dateRange=all,False
REGX,REGX,1,[325193],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=REGX&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=REGX&dateRange=all,False
REPYY,REPYY,1,[324110],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=REPYY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=REPYY&dateRange=all,False
RLNIY,RLNIY,1,[324110],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RLNIY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=RLNIY&dateRange=all,False
SKGO,SKGO,1,[325199],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SKGO&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=SKGO&dateRange=all,False
XFLS,XFLS,1,[325120],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XFLS&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=XFLS&dateRange=all,False
ALTO,ALTO,1,[325193],778164.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALTO&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=ALTO&dateRange=all,False
AMTX,AMTX,1,[325193],738214.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMTX&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=AMTX&dateRange=all,False
APD,APD,1,[325120],2969.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=APD&dateRange=all,False
BCPC,BCPC,1,[325199],9326.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BCPC&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=BCPC&dateRange=all,False
BLGO,BLGO,1,[325199],880242.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLGO&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=BLGO&dateRange=all,False
BP,BP,1,[324110],313807.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BP&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=BP&dateRange=all,False
CE,CE,1,[325199],1306830.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CE&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=CE&dateRange=all,False
CLMT,CLMT,1,[324110],1340122.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CLMT&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=CLMT&dateRange=all,False
CVE,CVE,2,[324110],1475260.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVE&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=CVE&dateRange=all,True
CVI,CVI,1,[324110],1376139.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVI&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=CVI&dateRange=all,False
CVX,CVX,1,[324110],93410.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=CVX&dateRange=all,False
DINO,DINO,1,[324110],1915657.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DINO&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=DINO&dateRange=all,False
DK,DK,1,[324110],1694426.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DK&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=DK&dateRange=all,False
EC,EC,1,[324110],1444406.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EC&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=EC&dateRange=all,False
EQNR,EQNR,1,[324110],1140625.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQNR&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=EQNR&dateRange=all,False
FF,FF,1,[325199],1337298.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FF&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=FF&dateRange=all,False
GEVO,GEVO,1,[325193],1392380.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GEVO&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=GEVO&dateRange=all,False
GIII.,GIII,1,[324110],821002.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GIII&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=GIII&dateRange=all,False
GLPEY,GLPEY,1,[324110],1385535.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GLPEY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=GLPEY&dateRange=all,False
GPRE,GPRE,1,[325193],1309402.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPRE&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=GPRE&dateRange=all,False
HEOL,HEOL,1,[325193],1371451.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HEOL&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=HEOL&dateRange=all,False
IFF,IFF,1,[325199],51253.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IFF&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=IFF&dateRange=all,False
IMO,IMO,2,[324110],49938.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IMO&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=IMO&dateRange=all,True
LIN,LIN,1,[325120],1707925.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LIN&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=LIN&dateRange=all,False
LODE,LODE,1,[324110],1120970.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LODE&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=LODE&dateRange=all,False
MMEX,MMEX,1,[324110],1440799.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMEX&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=MMEX&dateRange=all,False
MPC,MPC,1,[324110],1510295.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MPC&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=MPC&dateRange=all,False
NEU,NEU,1,[325199],1282637.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NEU&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=NEU&dateRange=all,False
OCLN,OCLN,1,[324199],1419793.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OCLN&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=OCLN&dateRange=all,False
PARR,PARR,1,[324110],821483.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PARR&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=PARR&dateRange=all,False
PBF,PBF,1,[324110],1534504.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PBF&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=PBF&dateRange=all,False
PBR,PBR,1,[324110],1119639.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PBR&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=PBR&dateRange=all,False
PCCYF,PCCYF,1,[324110],1108329.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCCYF&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=PCCYF&dateRange=all,False
PMBY,PMBY,1,[325199],1898798.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PMBY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=PMBY&dateRange=all,False
PSX,PSX,1,[324110],1534701.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSX&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=PSX&dateRange=all,False
PTOI,PTOI,1,[324199],1381105.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PTOI&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=PTOI&dateRange=all,False
QREE,QREE,1,[324110],1295961.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QREE&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=QREE&dateRange=all,False
REX,REX,1,[325193],744187.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=REX&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=REX&dateRange=all,False
SU,SU,2,[324110],311337.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SU&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=SU&dateRange=all,True
SXC,SXC,1,[324199],1514705.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SXC&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=SXC&dateRange=all,False
SXT,SXT,1,[325199],310142.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SXT&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=SXT&dateRange=all,False
TTE,TTE,1,[324110],879764.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TTE&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=TTE&dateRange=all,False
VLO,VLO,1,[324110],1035002.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VLO&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=VLO&dateRange=all,False
XOM,XOM,1,[324110],34088.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=XOM&dateRange=all,False
YPF,YPF,1,[324110],904851.0,SEC_direct,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=YPF&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=YPF&dateRange=all,False
